,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category,Venue Address,Venue Categories,Venue Likes,Venue Rating,Venue Is Open
26,Amur-Nyzhnodniprovskyi,Рюмочная,4ef731988231c111564d3cb3,48.47706577704689,35.014150572914524,Bar,"['пл. Петровського, 5 (Залізничний Вокзал)', 'Дніпро', 'Україна']","['Bar', 'Dive Bar', 'Restaurant']",8,6.3,
27,Amur-Nyzhnodniprovskyi,Круазе,5235cade498eedc5bac83c96,48.48411304478347,35.06538659176382,Café,"['Пер. Белостоцкого, 8', 'Дніпро', 'Україна']","['Café', 'Pool Hall']",18,6.0,
28,Amur-Nyzhnodniprovskyi,Малина,523d86ed11d26067b5ec6619,48.48622927490115,35.05158076975252,Café,['Україна'],['Café'],12,5.8,
29,Amur-Nyzhnodniprovskyi,ЯпонаХата / Yaponahata,52e3def2498eb9e2453e986c,48.49858090322046,35.069494653694555,Sushi Restaurant,"['ТЦ «Наша Правда» (пр-т ім. Газети «Правда», 31д)', 'Дніпро', 'Україна']",['Sushi Restaurant'],8,6.0,
30,Amur-Nyzhnodniprovskyi,Чеширский кот,53e62a73498e8e64c876816a,48.52056658537704,35.037145572619224,Comfort Food Restaurant,"['ул.Героев Гражданской Войны ,4', 'Дніпро, 49000', 'Україна']",['Comfort Food Restaurant'],5,6.2,
31,Amur-Nyzhnodniprovskyi,Тыква,51acae60498e09727d24b630,48.48639381901801,35.053764591880444,Pizza Place,"['ул. Набережная Чудновского', 'Дніпро', 'Україна']",['Pizza Place'],8,5.7,
32,Amur-Nyzhnodniprovskyi,Магазинчик на Ростовской,50a91580e4b05dd8c3a429f2,48.49687211885072,35.05111100126246,Food & Drink Shop,['Україна'],['Food & Drink Shop'],5,0.0,
33,Amur-Nyzhnodniprovskyi,Burger zone,52c5b153498e70bc70b959cb,48.498457657679396,35.069703588079285,Burger Joint,"['ТЦ ""Наша ПРАВДА"" (просп. Ім газети «Правда», 31д)', 'Дніпро', 'Україна']","['Burger Joint', 'Fast Food Restaurant']",18,5.8,
34,Amur-Nyzhnodniprovskyi,Море Пива,5364ac84498eb3c5a8d662f3,48.49195193579652,35.067048336339084,Beer Store,"['просп. Газети «Правда», 14а', 'Дніпро', 'Україна']",['Beer Store'],4,5.7,False
35,Amur-Nyzhnodniprovskyi,АТБ,5550dce4498e35d643e3a7c8,48.48884569120413,35.06081434681132,Supermarket,"['Вул. Луговська 255', 'Україна']",['Supermarket'],13,5.6,True
36,Amur-Nyzhnodniprovskyi,Старый Парк,4f58fe2ae4b0db97b78abda0,48.4864530909175,35.061864279106835,Restaurant,"['парк Сагайдак (просп. Слобожанський)', 'Дніпро', 'Україна']","['Restaurant', 'Zoo']",59,5.5,
37,Amur-Nyzhnodniprovskyi,Curry Wurst,535645e1498e91ac4000282d,48.47651182143932,35.014840851335556,Fast Food Restaurant,"['пл. Вокзальна, 1', 'Дніпро', 'Україна']",['Fast Food Restaurant'],17,5.8,
38,Amur-Nyzhnodniprovskyi,Шинок,4f3ea5b0e4b0c6aa6fba9de8,48.50856815648587,35.07613146533946,Café,"['просп. Слобожанський', 'Дніпро', 'Україна']",['Café'],4,5.8,
39,Amur-Nyzhnodniprovskyi,Натали,539c9138498ee67090c2c67c,48.50128185908712,35.0118630808335,Comfort Food Restaurant,"['Береговая, 54', 'Дніпро', 'Україна']",['Comfort Food Restaurant'],0,0.0,
40,Amur-Nyzhnodniprovskyi,Шашлычная#1,580926f338fa40c94f648dd5,48.476475,35.014793,BBQ Joint,"['Дніпро, 49000', 'Україна']","['BBQ Joint', 'Bistro']",5,5.5,True
41,Amur-Nyzhnodniprovskyi,Море Пива,52923a17498e2f2a6461e5e2,48.4801623823757,35.07210293948948,Beer Store,"['Малиновского, 48', 'Дніпро', 'Україна']",['Beer Store'],4,0.0,False
42,Amur-Nyzhnodniprovskyi,АТБ,52c83942498e7f1bdf32724d,48.50746231583538,35.02526717079504,Grocery Store,"['ул. Передовая, 2', 'Україна']","['Grocery Store', 'Miscellaneous Shop']",4,5.1,
