,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category
45,Amur-Nyzhnodniprovskyi,JYSK / ЮСК,53045d54498e27f6f2ccc234,48.49848984530927,35.069891383287505,Furniture / Home Store
46,Amur-Nyzhnodniprovskyi,Ривьера / Reviera,4e67c85f18a8bf0571c0d5fb,48.47975201725006,35.07018120252929,Restaurant
47,Amur-Nyzhnodniprovskyi,Coffee Life,524570d5498e39dea83a9d92,48.49855241731131,35.0698519113488,Coffee Shop
48,Amur-Nyzhnodniprovskyi,Булочная 1,52f504b811d21bda95893294,48.47727040258286,35.01632168067175,Bakery
49,Amur-Nyzhnodniprovskyi,Krystal club,52f6bced498ead08f2de8591,48.47895153621068,35.023496689732994,Nightclub
50,Amur-Nyzhnodniprovskyi,McDonald's,4cef0d0882125481cca467a1,48.47727776041328,35.02022445201874,Fast Food Restaurant
51,Amur-Nyzhnodniprovskyi,Веснянка,4e75ccc11495be5171476efa,48.510492219948034,35.0457256472425,Shopping Mall
52,Amur-Nyzhnodniprovskyi,Сандуны,4e7f059b0aafa30264a2355e,48.507860133846755,35.07659866074529,Spa
53,Amur-Nyzhnodniprovskyi,Франс.уа,575aac1f498eb633f979f801,48.47683231648918,35.01994817895341,Bakery
54,Amur-Nyzhnodniprovskyi,Сільпо / Silpo,55d06e65498ed79266632d7a,48.49842595177152,35.069522344199726,Supermarket
55,Amur-Nyzhnodniprovskyi,Бассейн «Старый парк»,53b3cace498e7cdb9767be1b,48.48601727710145,35.06144559263405,Pool
56,Amur-Nyzhnodniprovskyi,Watsons,529dac0211d23ab3da48509f,48.49850098390047,35.0699052184105,Cosmetics Shop
57,Amur-Nyzhnodniprovskyi,Gloria Jeans,52fa2c4a498eb310e927f6f6,48.49847925323033,35.069792315346916,Clothing Store
58,Amur-Nyzhnodniprovskyi,Чао,567eec01498ec1c980acb73b,48.481774505809234,35.06523893147161,Café
59,Amur-Nyzhnodniprovskyi,Остановка ул. Мариупольская,506fc2abe4b0eb64050a63c6,48.49385723995564,35.04403478897286,Bus Station
60,Amur-Nyzhnodniprovskyi,Деревянный рынок,4edc8e80b8f7fcd042d3ff1d,48.49406182762818,35.04196537283953,Furniture / Home Store
61,Amur-Nyzhnodniprovskyi,Рюмочная,4ef731988231c111564d3cb3,48.47706577704689,35.014150572914524,Bar
62,Amur-Nyzhnodniprovskyi,Сквер на Правде,4fbbd330e4b01e390788ba0a,48.50586283116154,35.074344079276436,Park
63,Amur-Nyzhnodniprovskyi,Круазе,5235cade498eedc5bac83c96,48.48411304478347,35.06538659176382,Café
64,Amur-Nyzhnodniprovskyi,Малина,523d86ed11d26067b5ec6619,48.48622927490115,35.05158076975252,Café
65,Amur-Nyzhnodniprovskyi,ЯпонаХата / Yaponahata,52e3def2498eb9e2453e986c,48.49858090322046,35.069494653694555,Sushi Restaurant
66,Amur-Nyzhnodniprovskyi,Барабан,4f92e6d6e4b04c0b8c995370,48.48135292390417,35.01784172759851,Rock Club
67,Amur-Nyzhnodniprovskyi,Чеширский кот,53e62a73498e8e64c876816a,48.52056658537704,35.037145572619224,Comfort Food Restaurant
68,Amur-Nyzhnodniprovskyi,Тыква,51acae60498e09727d24b630,48.48639381901801,35.053764591880444,Pizza Place
69,Amur-Nyzhnodniprovskyi,Магазинчик на Ростовской,50a91580e4b05dd8c3a429f2,48.49687211885072,35.05111100126246,Food & Drink Shop
70,Amur-Nyzhnodniprovskyi,Парк ім. С. Кірова / Kirov Park,513de9b1e4b0fce94cbba33c,48.502768469094185,35.05433391891985,Park
71,Amur-Nyzhnodniprovskyi,Вавилон / Babylon,4e35598945dd1c42bf1d779b,48.48414584808469,35.06327983802902,Shopping Mall
72,Amur-Nyzhnodniprovskyi,Ева / Еva,4f4a5f54e4b002a2ad86074c,48.514234526058466,35.062271246730305,Cosmetics Shop
73,Amur-Nyzhnodniprovskyi,Burger zone,52c5b153498e70bc70b959cb,48.498457657679396,35.069703588079285,Burger Joint
74,Amur-Nyzhnodniprovskyi,Море Пива,5364ac84498eb3c5a8d662f3,48.49195193579652,35.067048336339084,Beer Store
75,Amur-Nyzhnodniprovskyi,АТБ,5550dce4498e35d643e3a7c8,48.48884569120413,35.06081434681132,Supermarket
76,Amur-Nyzhnodniprovskyi,Августін,4f1813a9e4b078805ce3f7ba,48.50542428124085,35.07514350194507,Nightclub
77,Amur-Nyzhnodniprovskyi,Ринок Образцовий,4d970617647d8cfa5fe5c83d,48.51399595785966,35.05565325688279,Farmers Market
78,Amur-Nyzhnodniprovskyi,Старый Парк,4f58fe2ae4b0db97b78abda0,48.4864530909175,35.061864279106835,Restaurant
79,Amur-Nyzhnodniprovskyi,Curry Wurst,535645e1498e91ac4000282d,48.47651182143932,35.014840851335556,Fast Food Restaurant
80,Amur-Nyzhnodniprovskyi,Фокстрот,504c64b1e4b05ebf6dd1d0c1,48.47678098717922,35.01457696931836,Electronics Store
81,Amur-Nyzhnodniprovskyi,Клинчик,505fe91fe4b011bf1fdc3e22,48.50719345731849,35.02398472906547,Bus Station
82,Amur-Nyzhnodniprovskyi,СДЮШОР #3,4fdc59ede4b06f6984c433f4,48.485861250455706,35.066234436384406,Athletics & Sports
83,Amur-Nyzhnodniprovskyi,АТБ,50fe7992e4b07787e6cdbf0a,48.512103566328655,35.071801076083055,Convenience Store
84,Amur-Nyzhnodniprovskyi,"Зупинка маршруту № 25 ""Водників""",4f6c0b68e4b0e0075940d615,48.500180810184816,35.01446670240764,Bus Station
85,Amur-Nyzhnodniprovskyi,Шинок,4f3ea5b0e4b0c6aa6fba9de8,48.50856815648587,35.07613146533946,Café
86,Amur-Nyzhnodniprovskyi,Залізничний вокзал «Дніпро-Головний» / Dnipro Main Railway Station (Залізничний вокзал «Дніпро-Головний»),4c2c1a7357a9c9b61e0cf767,48.477388,35.015209,Train Station
87,Amur-Nyzhnodniprovskyi,Золотой Базар,4f4cd94fe4b05b49b4134f44,48.47737419747162,35.02032004972849,Jewelry Store
88,Amur-Nyzhnodniprovskyi,Маршрутне таксі №35,511fc980e4b0518ce7c3b2ca,48.47621564082861,35.05618604217662,Bus Line
89,Amur-Nyzhnodniprovskyi,Натали,539c9138498ee67090c2c67c,48.50128185908712,35.0118630808335,Comfort Food Restaurant
90,Amur-Nyzhnodniprovskyi,"чп.Chernenkiy ""Duboviy Listik""",50727dfbe4b011218bcaa830,48.49711541238131,35.010258876292276,Furniture / Home Store
91,Amur-Nyzhnodniprovskyi,Коваля,505fe9cfe4b008dd84c85579,48.50983528585235,35.013588041174195,Bus Station
92,Amur-Nyzhnodniprovskyi,Комисионные Мобильные Телефоны,507ae096e4b0e942481f73ae,48.476991385574244,35.016198999457835,Thrift / Vintage Store
93,Amur-Nyzhnodniprovskyi,Шашлычная#1,580926f338fa40c94f648dd5,48.476475,35.014793,BBQ Joint
94,Amur-Nyzhnodniprovskyi,Море Пива,52923a17498e2f2a6461e5e2,48.4801623823757,35.07210293948948,Beer Store
95,Amur-Nyzhnodniprovskyi,АТБ,52c83942498e7f1bdf32724d,48.50746231583538,35.02526717079504,Grocery Store
96,Shevchenkivskyi,Wine Time,5120f1c9e4b0bd4eec5d0076,48.46617927784642,35.04302505858199,Wine Shop
97,Shevchenkivskyi,Лазерхаус,5502f0e7498e26f68f81b356,48.47031737127309,35.043921417951246,Health & Beauty Service
98,Shevchenkivskyi,Teahouse,551cfd1c498e614682910aac,48.46497252982586,35.04386734731413,Tea Room
99,Shevchenkivskyi,Holy Bun,5a1d433a89e49031248b008a,48.46481530113186,35.043726439427886,Bakery
100,Shevchenkivskyi,HAVE Coffee,5a2fa09e69e77b22f361c493,48.46938619295018,35.038928379213864,Coffee Shop
101,Shevchenkivskyi,Silpo,5d73bfaa30a199000899f0de,48.467456,35.036927,Supermarket
102,Shevchenkivskyi,Bar Acacia,5c7b02c2f8cbd4002c4eaa5e,48.466028,35.045736,Bar
